"","Post","Date","Url","Author","Full.Text"
"1750","NPR review","2024-04-24 21:05:03.0","http://twitter.com/wIwsfilm/statuses/1783240764471837018","wIwsfilm","help 😭😭😭😭😭😭"
"1751","NPR review","2024-04-24 21:03:06.0","http://twitter.com/fictuyspace/statuses/1783240272861643225","fictuyspace","@taylorswift13 @annkpowers @nprmusic MOOD ATREVIDO IS HERE"
"1752","NPR review","2024-04-24 21:01:42.0","http://twitter.com/swiftydecember/statuses/1783239919546376478","swiftydecember","@taylorswift13 @annkpowers @nprmusic Yes, only good vibes🤍"
"1753","NPR review","2024-04-24 21:01:12.0","http://twitter.com/EmilyyyHale/statuses/1783239793654087749","EmilyyyHale","ran out of happy lyrics didn’t you 💀"
"1754","NPR review","2024-04-24 21:00:18.0","http://twitter.com/Sweetie8024/statuses/1783239566788342250","Sweetie8024","@taylorswift13 @annkpowers @nprmusic I must listen every day 🤍 https://t.co/JKtyqXJim4"
"1755","NPR review","2024-04-24 20:58:06.0","http://twitter.com/taysmina/statuses/1783239012490129660","taysmina","love her i don't care mood"
"1756","NPR review","2024-04-24 20:57:16.0","http://twitter.com/ArielTesch/statuses/1783238803202654236","ArielTesch","@taylorswift13 @annkpowers @nprmusic I am always crying at the gym (not the good kind)."
"1757","NPR review","2024-04-24 20:55:36.0","http://twitter.com/Mystery1111113/statuses/1783238386511184122","Mystery1111113","@taylorswift13 @annkpowers @nprmusic Down Bad https://t.co/jXL8wJGFix"
"1758","NPR review","2024-04-24 20:54:27.0","http://twitter.com/daenerfs/statuses/1783238096416313504","daenerfs","girlie is struggling trying to find happy lyrics"
"1759","NPR review","2024-04-24 20:54:22.0","http://twitter.com/isah__reis__/statuses/1783238073418924057","isah__reis__","@taylorswift13 @annkpowers @nprmusic Now! https://t.co/9HhScvOjNE"
"1760","NPR review","2024-04-24 20:53:31.0","http://twitter.com/itsnotbells/statuses/1783237860620918791","itsnotbells","girl 😭"
"1761","NPR review","2024-04-24 20:52:57.0","http://twitter.com/samalama8974/statuses/1783237716043243614","samalama8974","@taylorswift13 @annkpowers @nprmusic We're so happy your crying happy tears ts🤍tk"
"1762","NPR review","2024-04-24 20:50:35.0","http://twitter.com/FEARLESSSBITCH/statuses/1783237120380809609","FEARLESSSBITCH","the good kind 😭"
"1763","NPR review","2024-04-24 20:49:23.0","http://twitter.com/realAndrewGomez/statuses/1783236819154538622","realAndrewGomez","@taylorswift13 @annkpowers @nprmusic *hands Taylor a tissue*"
"1764","NPR review","2024-04-24 20:48:45.0","http://twitter.com/Crismifer/statuses/1783236662354436534","Crismifer","@taylorswift13 @annkpowers @nprmusic Beautiful @taylorswift13"
"1765","NPR review","2024-04-24 20:48:26.0","http://twitter.com/shannentierney/statuses/1783236582721392923","shannentierney","She’s running out of happy lyrics"
"1766","NPR review","2024-04-24 20:47:06.0","http://twitter.com/poet_manuscript/statuses/1783236246703059332","poet_manuscript","lmfao why is she so funny"
"1767","NPR review","2024-04-24 20:46:46.0","http://twitter.com/SwissMacnChz33/statuses/1783236163228373343","SwissMacnChz33","@taylorswift13 @annkpowers @nprmusic do u have a hot cousin I can cuddle with in Switzerland? https://t.co/cdUD4DACqj"
"1768","NPR review","2024-04-24 20:46:40.0","http://twitter.com/blondebandit16/statuses/1783236134782267576","blondebandit16","the good kind gym girl in the question https://t.co/J0o7un8DPw"
"1769","NPR review","2024-04-24 20:45:54.0","http://twitter.com/worthedrives/statuses/1783235944428036493","worthedrives","she ran out of lyrics 😭😭😭😭😭"
